[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement création de la FireStation (FirestationService.java:65)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement création de la FireStation (FirestationService.java:65)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement création de la FireStation (FirestationService.java:65)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la suppression ! (FirestationService.java:40)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la mise à jour ! (FirestationService.java:53)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la recherche de toutes les FireStations (FirestationService.java:29)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la mise à jour ! (FirestationService.java:53)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la suppression ! (FirestationService.java:40)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement création de la FireStation (FirestationService.java:65)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement création de la FireStation (FirestationService.java:65)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement création de la FireStation (FirestationService.java:65)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la suppression ! (FirestationService.java:40)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la mise à jour ! (FirestationService.java:53)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la recherche de toutes les FireStations (FirestationService.java:29)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la mise à jour ! (FirestationService.java:53)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la suppression ! (FirestationService.java:40)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement création de la FireStation (FirestationService.java:65)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement création de la FireStation (FirestationService.java:65)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement création de la FireStation (FirestationService.java:65)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la suppression ! (FirestationService.java:40)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la mise à jour ! (FirestationService.java:53)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la recherche de toutes les FireStations (FirestationService.java:29)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la mise à jour ! (FirestationService.java:53)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la suppression ! (FirestationService.java:40)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la suppression ! (FirestationService.java:40)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la mise à jour ! (FirestationService.java:53)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la recherche de toutes les FireStations (FirestationService.java:29)
[main] INFO       | com.safetynet.safetyAlerts.service.FirestationService        | Lancement de la mise à jour ! (FirestationService.java:53)
